want 1134 MSA files (0 already present)
archive 107.2 GB, 48 workers
  [m7] + 3bw9_c.npz (1 KB)
  [m4] + 7n2p_c.npz (1 KB)
  [m13] + 6vqy_e.npz (1 KB)
  [m1] + 7kgr_c.npz (1 KB)
  [m6] + 4pge_c.npz (1 KB)
  [m5] + 4iho_a.npz (966 KB)
  [m5] + 4jfd_c.npz (1 KB)
  [m0] + 6tdo_a.npz (950 KB)
  [m3] + 5wsh_c.npz (1 KB)
  [m32] + 1s8d_c.npz (1 KB)
  [m6] + 5ind_e.npz (1 KB)
  [m33] + 3p4n_c.npz (1 KB)
  [m33] + 5wli_c.npz (1 KB)
  [m18] + 4hv8_e.npz (1 KB)
  [m17] + 8d5e_c.npz (1 KB)
  [m23] + 5d9s_c.npz (1 KB)
  [m0] + 2hla_a.npz (948 KB)
  [m37] + 6uon_e.npz (1036 KB)
  [m4] + 2bnr_a.npz (988 KB)
  [m14] + 8sbl_c.npz (1 KB)
  [m25] + 3bze_i.npz (1 KB)
  [m1] + 5ad0_c.npz (1 KB)
  [m46] + 3fol_c.npz (1 KB)
  [m38] + 5wxc_e.npz (1 KB)
  [m23] + 6p2c_c.npz (1 KB)
  [m8] + 6ujo_c.npz (1 KB)
  [m9] + 5f7d_c.npz (1 KB)
  [m40] + 3ixa_a.npz (978 KB)
  [m33] + 6ghn_e.npz (1 KB)
  [m8] + 4hkj_a.npz (995 KB)
  [m12] + 6ssa_c.npz (1 KB)
  [m9] + 7cjq_b.npz (280 KB)
  [m2] + 6m24_a.npz (1008 KB)
  [m11] + 1kpr_e.npz (1 KB)
  [m34] + 4o2e_c.npz (1 KB)
  [m19] + 6avg_a.npz (253 KB)
  [m21] + 7ndu_c.npz (1 KB)
  [m46] + 3vri_c.npz (1 KB)
  [m43] + 5gr7_c.npz (1 KB)
  [m9] + 7ejm_c.npz (1 KB)
  [m42] + 3pwv_a.npz (1004 KB)
  [m15] + 3kpn_c.npz (1 KB)
  [m37] + 3kpr_c.npz (1 KB)
  [m18] + 7wt5_c.npz (1 KB)
  [m44] + 5n1y_c.npz (1 KB)
  [m16] + 5ymv_c.npz (1 KB)
  [m47] + 7wt4_a.npz (992 KB)
  [m43] + 3vfv_c.npz (1 KB)
  [m17] + 6l9m_c.npz (1 KB)
  [m5] + 6wzy_c.npz (1 KB)
  [m41] + 4l8d_e.npz (1 KB)
  [m19] + 4z76_c.npz (1 KB)
  [m32] + 5w67_c.npz (1 KB)
  [m21] + 4f7p_c.npz (1 KB)
  [m44] + 7emb_c.npz (1 KB)
  [m23] + 4u1k_a.npz (991 KB)
  [m31] + 3bh9_c.npz (1 KB)
  [m29] + 2bck_c.npz (1 KB)
  [m1] + 6j2h_b.npz (252 KB)
  [m0] + 3pwl_c.npz (1 KB)
  [m18] + 8emf_c.npz (1 KB)
  [m31] + 8fhu_c.npz (1 KB)
  [m15] + 7sif_a.npz (1004 KB)
  [m20] + 6mt4_a.npz (1007 KB)
  [m14] + 7stf_d.npz (1014 KB)
  [m8] + 1agb_c.npz (1 KB)
  [m20] + 7zqi_a.npz (872 KB)
  [m41] + 4mxq_d.npz (1 KB)
